Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],
243,Bee sample 81,Unknown,,3,2,9,n.a.,n.a.,9200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
244,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
245,Blank 3/11,Unknown,,4,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
246,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
247,Bee sample 62,Unknown,,5,2,8.96,n.a.,n.a.,8690,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
248,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
249,Blank 3/12,Unknown,,6,2,8.94,n.a.,n.a.,9244,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
250,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
251,Bee sample 72,Unknown,,7,2,8.96,n.a.,n.a.,8130,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
252,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
253,Bee sample 82,Unknown,,8,2,9,n.a.,n.a.,7962,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
254,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
